F.I.Sh,ijtimoiy holati,ijtimoiy qatlami,Python,Kompyuterli nigoh,Data mining,Web texnologiyalar,Suniy intellekt,davomat
jvwlt,yoshlar daftari,3,4,2,4,4,2,15
gsfha,yolg'iz,2,3,2,4,4,4,50
viguw,yolg'iz,4,4,2,2,4,3,11
fmkiv,temir daftar,4,4,3,3,4,3,94
fhcsx,yolg'iz,2,4,4,3,2,3,87
xfbgx,chin yetim,2,2,4,2,4,2,7
wczwl,yoshlar daftari,2,3,3,3,2,2,11
bqfzt,temir daftar,3,2,2,2,3,4,35
arbch,oliali,4,2,2,3,2,2,77
sckkt,ijtimoiy ximoyaga muhtoj oila restor,4,3,2,3,2,4,82
wbxsq,yolg'iz,4,4,2,3,2,4,73
yprus,yolg'iz,2,3,3,4,3,2,79
ipbuk,yoshlar daftari,4,2,2,3,2,2,74
ettjg,yoshlar daftari,4,4,2,2,2,4,47
mlsfg,oliali,2,3,4,4,4,3,32
kmlrm,ijtimoiy ximoyaga muhtoj oila restor,2,2,3,3,4,3,7
hvhod,ijtimoiy ximoyaga muhtoj oila restor,3,3,3,4,3,2,26
ppxzf,oliali,4,2,4,2,2,4,29
phseq,yolg'iz,4,3,2,2,4,2,11
fevoc,oliali,2,4,3,3,4,2,91
kkexn,yolg'iz,2,3,3,3,3,2,12
vtrqc,boquvchisini yo'qotgan,2,2,4,4,2,3,72
awchl,oliali,3,2,3,2,3,3,88
bgqtj,boquvchisini yo'qotgan,3,2,3,3,2,3,24
kxxsb,oliali,2,2,3,2,4,3,43
xkshh,boquvchisini yo'qotgan,4,3,3,3,2,2,79
eknoi,temir daftar,3,4,4,2,2,2,73
gzgju,yolg'iz,4,4,3,4,2,3,88
tdfpc,boquvchisini yo'qotgan,4,2,4,3,4,4,5
bnayg,yolg'iz,2,2,4,3,4,3,39
ctcte,boquvchisini yo'qotgan,4,4,2,3,2,2,58
uerft,yoshlar daftari,2,3,3,3,3,3,30
zpmjc,ijtimoiy ximoyaga muhtoj oila restor,3,4,3,4,4,4,0
mdcke,temir daftar,4,3,4,3,2,3,13
jtmws,yolg'iz,3,4,4,3,4,3,77
kskvz,ijtimoiy ximoyaga muhtoj oila restor,4,4,4,3,4,2,77
hljub,oliali,2,3,3,3,2,3,46
uqybs,boquvchisini yo'qotgan,3,2,4,3,2,3,95
zilvg,yolg'iz,4,4,4,4,3,2,54
qdgmu,yolg'iz,2,4,4,4,2,3,88
cqyfu,oliali,4,3,2,4,3,2,15
cpzsb,chin yetim,2,2,2,2,3,4,51
gnddh,boquvchisini yo'qotgan,3,3,3,3,2,3,73
mznsi,boquvchisini yo'qotgan,4,4,3,3,3,3,52
goheq,yolg'iz,4,2,2,3,4,2,47
nmzpv,boquvchisini yo'qotgan,4,3,3,2,2,3,13
