F.I.Sh,ijtimoiy holati,Python,Kompyuterli nigoh,Data mining,Web texnologiyalar,Suniy intellekt,o'rtacha bahosi,davomat
B. Karima,chin yetim,5,3,4,4,4,4.0,74%
C. Badriddin,ijtimoiy ximoyaga muhtoj oila reestr,5,4,3,3,3,3.6,82%
R. Nuriya,yolg'iz,3,2,5,5,4,3.8,34%
N. Roziya,boquvchisini yo'qotgan,5,5,4,4,5,4.6,85%
G. Jasur,ijtimoiy ximoyaga muhtoj oila reestr,4,2,4,5,5,4.0,3%
T. Zarifa,boquvchisini yo'qotgan,5,5,2,5,2,3.8,98%
U. Shirin,boquvchisini yo'qotgan,4,3,3,4,2,3.2,27%
U. Safo,chin yetim,3,3,4,2,4,3.2,73%
B. Abdussamad,yoshlar daftari,3,3,5,5,4,4.0,3%
M. Zulayxo,yoshlar daftari,2,5,5,3,4,3.8,16%
B. Jamila,temir daftar,4,5,5,3,4,4.2,66%
Q. Jo‘rabek,temir daftar,4,4,5,5,5,4.6,73%
F. Rajab,ijtimoiy ximoyaga muhtoj oila reestr,4,4,5,4,5,4.4,32%
H. Firdavs,yoshlar daftari,2,4,3,4,5,3.6,81%
F. Ozodbek,chin yetim,5,4,2,4,4,3.8,77%
E. Muhammad,temir daftar,3,3,4,4,5,3.8,99%
N. Abdulfattoh,ijtimoiy ximoyaga muhtoj oila reestr,4,4,5,5,4,4.4,64%
C. Nizomiddin,yoshlar daftari,5,5,3,2,5,4.0,79%
A. Abdurrahiym,chin yetim,5,4,4,4,2,3.8,73%
U. Safo,chin yetim,5,3,2,5,4,3.8,86%
O. Shahriyor,oilali,4,4,5,3,3,3.8,81%
T. Alima,chin yetim,5,5,5,5,4,4.8,96%
A. Hurshida,yoshlar daftari,5,4,4,2,4,3.8,57%
V. Jahongir,temir daftar,4,4,3,4,4,3.8,65%
T. Nusrat,yoshlar daftari,3,2,4,4,4,3.4,70%
X. Nasriddin,temir daftar,3,4,5,4,3,3.8,89%
A. Feruza,temir daftar,5,4,4,5,4,4.4,78%
G. Jasur,yoshlar daftari,5,4,5,4,5,4.6,82%
A. Mafruza,boquvchisini yo'qotgan,4,4,3,4,4,3.8,72%
N. Yoqub,yolg'iz,5,5,4,5,5,4.8,52%
N. Yoqub,yoshlar daftari,4,5,5,3,4,4.2,90%
H. Alisher,temir daftar,3,4,4,5,5,4.2,91%
N. Bilol,ijtimoiy ximoyaga muhtoj oila reestr,4,4,5,4,5,4.4,60%
S. Maxfuza,oilali,5,4,5,5,5,4.8,76%
M. Munif,ijtimoiy ximoyaga muhtoj oila reestr,3,4,5,2,2,3.2,80%
P. Abdulahad,ijtimoiy ximoyaga muhtoj oila reestr,3,4,5,4,2,3.6,75%
M. Afif,oilali,3,4,5,3,5,4.0,63%
O. Raif,yoshlar daftari,5,4,4,4,5,4.4,67%
V. Abdurrashid,oilali,4,5,5,5,4,4.6,46%
I. Saodat,temir daftar,4,3,4,4,4,3.8,39%
F. Olim,boquvchisini yo'qotgan,2,4,5,4,3,3.6,61%
N. Abdullatif,temir daftar,5,5,4,4,4,4.4,25%
J. Saida,yoshlar daftari,3,2,3,4,2,2.8,88%
D. Raxmatulloh,oilali,5,4,4,4,5,4.4,82%
F. Nilufar,oilali,4,3,4,3,4,3.6,85%
U. Abdulvali,boquvchisini yo'qotgan,4,3,3,5,4,3.8,83%
K. Akif,yoshlar daftari,5,4,4,2,5,4.0,99%
V. Samina,ijtimoiy ximoyaga muhtoj oila reestr,4,5,4,4,4,4.2,79%
Y. Rafid,yolg'iz,3,2,4,3,5,3.4,78%
W. Abdurrazzoq,yolg'iz,4,4,5,2,5,4.0,72%
J. Ziyoda,boquvchisini yo'qotgan,2,5,5,3,3,3.6,91%
M. Salima,boquvchisini yo'qotgan,4,5,3,4,4,4.0,81%
V. Muqaddam,yolg'iz,5,4,3,5,4,4.2,85%
R. Zarina,boquvchisini yo'qotgan,5,4,3,4,4,4.0,79%
"A. Rayona, Rayyona",ijtimoiy ximoyaga muhtoj oila reestr,3,4,3,5,5,4.0,57%
S. Maloxat,boquvchisini yo'qotgan,4,5,3,2,4,3.6,32%
U. Usmon,yoshlar daftari,3,3,5,5,4,4.0,83%
B. Abdussamad,yoshlar daftari,5,3,4,5,5,4.4,91%
Q. Farida,temir daftar,2,5,3,4,2,3.2,80%
L. Halima,chin yetim,5,5,5,2,4,4.2,99%
G. Jasur,ijtimoiy ximoyaga muhtoj oila reestr,4,5,5,4,4,4.4,65%
B. Abdulmajid,boquvchisini yo'qotgan,5,5,4,4,2,4.0,94%
N. Zayniddin,ijtimoiy ximoyaga muhtoj oila reestr,4,3,5,5,5,4.4,86%
W. Umriya,ijtimoiy ximoyaga muhtoj oila reestr,5,3,4,5,4,4.2,90%
F. Ma’sud,boquvchisini yo'qotgan,5,3,4,3,4,3.8,80%
Y. Qudrat,chin yetim,3,5,4,3,3,3.6,75%
D. Davriya,oilali,4,5,3,3,3,3.6,79%
S. Samira,yolg'iz,2,4,3,3,4,3.2,84%
R. Zaxro,yoshlar daftari,4,2,4,4,5,3.8,83%
T. Alima,ijtimoiy ximoyaga muhtoj oila reestr,4,4,3,5,5,4.2,76%
C. Bahriddin,boquvchisini yo'qotgan,5,5,5,4,5,4.8,98%
U. Go‘zal,boquvchisini yo'qotgan,4,5,5,4,4,4.4,76%
A. Sobit,ijtimoiy ximoyaga muhtoj oila reestr,4,5,4,4,5,4.4,97%
"A. Rayona, Rayyona",oilali,3,5,4,4,4,4.0,98%
U. Maxsuma,yolg'iz,4,4,5,5,5,4.6,72%
R. Oybek,yoshlar daftari,3,4,4,5,4,4.0,97%
D. Fitrat,yoshlar daftari,4,5,5,3,3,4.0,42%
Q. Asal,yolg'iz,4,5,3,4,4,4.0,72%
G. Jasur,oilali,2,4,4,5,3,3.6,73%
S. Samira,oilali,4,5,4,5,4,4.4,73%
T. Mahan,chin yetim,4,5,5,4,4,4.4,72%
N. Sodiq,ijtimoiy ximoyaga muhtoj oila reestr,4,3,4,5,3,3.8,91%
R. Nusratulloh,boquvchisini yo'qotgan,4,2,5,4,4,3.8,46%
Q. Hoji,yoshlar daftari,5,5,3,5,5,4.6,95%
C. Aziza,ijtimoiy ximoyaga muhtoj oila reestr,3,4,4,5,4,4.0,88%
S. Maloxat,chin yetim,4,4,4,4,3,3.8,82%
M. Hosiyat,yoshlar daftari,3,4,4,4,3,3.6,73%
D. Dildora,boquvchisini yo'qotgan,5,2,5,5,5,4.4,79%
M. Hamza,boquvchisini yo'qotgan,4,5,5,4,5,4.6,83%
T. Nusrat,yoshlar daftari,4,3,4,5,3,3.8,98%
K. Zamira,temir daftar,4,4,4,2,4,3.6,94%
C. Ulug‘bek,yoshlar daftari,3,5,5,4,2,3.8,93%
T. Hamdam,chin yetim,5,4,5,3,4,4.2,17%
A. Izzat,ijtimoiy ximoyaga muhtoj oila reestr,4,4,3,5,4,4.0,97%
E. Sevara,ijtimoiy ximoyaga muhtoj oila reestr,4,4,2,4,3,3.4,11%
R. Munisa,boquvchisini yo'qotgan,5,3,4,4,4,4.0,85%
H. Mansur,yolg'iz,4,5,4,3,4,4.0,72%
K. Ramziya,oilali,2,5,2,3,4,3.2,75%
K. Muhtor,yoshlar daftari,5,5,5,5,4,4.8,82%
L. Maxbuba,chin yetim,3,4,5,3,4,3.8,10%
U. Shirin,yoshlar daftari,3,3,4,5,3,3.6,95%
T. Abdulg‘affor,oilali,4,5,3,3,5,4.0,79%
Z. Noila,yoshlar daftari,2,4,4,3,3,3.2,53%
W. Umriya,temir daftar,5,4,3,5,5,4.4,75%
Y. Islom,yoshlar daftari,3,2,4,3,4,3.2,91%
G. Imron,yoshlar daftari,4,2,5,4,4,3.8,82%
P. Isroil,chin yetim,3,4,4,5,3,3.8,97%
C. Umid,boquvchisini yo'qotgan,2,3,3,4,4,3.2,73%
S. Samira,ijtimoiy ximoyaga muhtoj oila reestr,3,3,3,2,5,3.2,15%
N. Abdullatif,ijtimoiy ximoyaga muhtoj oila reestr,2,4,5,4,4,3.8,45%
O. Shahriyor,temir daftar,4,3,3,3,3,3.2,23%
C. Zarnigor,ijtimoiy ximoyaga muhtoj oila reestr,4,4,4,5,5,4.4,79%
N. Abdullatif,yoshlar daftari,4,5,5,4,2,4.0,44%
B. G‘afur,chin yetim,5,3,2,4,4,3.6,76%
D. Rahim,oilali,4,3,5,4,5,4.2,67%
Q. Asal,yoshlar daftari,4,4,5,5,5,4.6,92%
M. Abdulaziz,oilali,4,5,5,4,4,4.4,29%
W. Dilso‘z,yolg'iz,4,2,4,3,4,3.4,26%
X. Mushtariy,yolg'iz,4,4,3,3,5,3.8,84%
A. Botir,yoshlar daftari,3,5,5,5,4,4.4,26%
H. Firdavs,yoshlar daftari,4,4,2,4,4,3.6,73%
B. Farangiz,chin yetim,4,5,3,4,4,4.0,93%
V. Guljaxon,temir daftar,3,4,2,4,2,3.0,82%
W. Moxinur,boquvchisini yo'qotgan,3,4,5,4,4,4.0,90%
Q. Aziz,yolg'iz,4,4,5,5,5,4.6,32%
Y. Sojida,boquvchisini yo'qotgan,5,3,3,4,4,3.8,86%
H. Firdavs,boquvchisini yo'qotgan,3,4,4,3,4,3.6,81%
J. Mazbut,ijtimoiy ximoyaga muhtoj oila reestr,4,3,2,4,3,3.2,96%
K. Mohir,oilali,3,4,5,3,2,3.4,92%
H. Safiya,chin yetim,4,4,5,3,5,4.2,44%
J. Mirdas,chin yetim,2,4,5,5,4,4.0,84%
C. Umid,chin yetim,5,4,4,3,4,4.0,85%
J. Mazbut,oilali,3,4,5,4,4,4.0,87%
B. Zohir,yolg'iz,3,4,3,2,5,3.4,76%
R. Oybek,yolg'iz,5,4,3,5,3,4.0,76%
G. Muxsina,yolg'iz,4,5,4,5,2,4.0,45%
X. Kubad,boquvchisini yo'qotgan,2,4,5,4,5,4.0,51%
V. Asliya,yoshlar daftari,2,4,5,4,2,3.4,85%
U. Shirin,yolg'iz,5,5,4,4,4,4.4,56%
F. Nilufar,yolg'iz,3,4,4,4,3,3.6,81%
O. Madid,yolg'iz,4,4,4,5,5,4.4,73%
Q. Azamat,yoshlar daftari,4,3,5,5,4,4.2,94%
Z. Noila,chin yetim,5,3,4,3,4,3.8,87%
G. Shoira,yolg'iz,3,4,4,4,2,3.4,75%
X. Solixa,oilali,2,5,3,4,2,3.2,75%
V. Abdulhay,boquvchisini yo'qotgan,4,5,5,5,5,4.8,98%
S. Maloxat,yolg'iz,3,4,2,2,4,3.0,84%
F. Olim,chin yetim,2,4,4,5,4,3.8,76%
N. Yoqub,boquvchisini yo'qotgan,4,2,5,5,4,4.0,75%
B. Vosil,yoshlar daftari,4,3,5,4,4,4.0,84%
K. Mohir,ijtimoiy ximoyaga muhtoj oila reestr,4,5,5,5,4,4.6,88%
B. Vazira,yoshlar daftari,4,2,4,5,4,3.8,74%
S. Zokir,ijtimoiy ximoyaga muhtoj oila reestr,4,3,5,5,5,4.4,94%
M. Ilyos,temir daftar,3,4,5,4,4,4.0,84%
N. A’zam,oilali,4,4,4,3,4,3.8,87%
N. Abdullatif,boquvchisini yo'qotgan,2,5,5,5,5,4.4,89%
O. Ziroat,oilali,5,5,3,3,5,4.2,78%
S. Hurram,yolg'iz,4,5,3,2,4,3.6,69%
M. Abdulaziz,temir daftar,3,5,5,4,3,4.0,80%
D. Muhsin,boquvchisini yo'qotgan,2,5,5,5,5,4.4,70%
Z. Adham,yolg'iz,2,4,4,2,5,3.4,71%
F. Dilbar,chin yetim,5,3,4,5,5,4.4,94%
K. Muhtor,oilali,5,5,4,2,3,3.8,77%
R. Ifora,boquvchisini yo'qotgan,4,4,5,3,5,4.2,22%
X. Solixa,ijtimoiy ximoyaga muhtoj oila reestr,4,4,4,5,3,4.0,76%
V. Samina,temir daftar,4,4,2,4,4,3.6,93%
L. Rauf,boquvchisini yo'qotgan,5,5,3,4,2,3.8,84%
U. Diyor,chin yetim,5,4,3,2,4,3.6,72%
T. Mavdud,yolg'iz,3,4,4,4,3,3.6,90%
U. Vafo,oilali,3,5,5,4,4,4.2,93%
E. Guljamol,yoshlar daftari,5,3,4,3,3,3.6,89%
D. Nafisa,boquvchisini yo'qotgan,4,4,5,4,2,3.8,70%
M. Nigora,yoshlar daftari,2,2,3,3,5,3.0,71%
X. Kubad,temir daftar,2,4,4,4,2,3.2,93%
L. Afzuna,temir daftar,5,4,4,4,4,4.2,61%
B. Umida,yolg'iz,3,2,5,5,4,3.8,96%
W. Umriya,temir daftar,5,3,3,5,5,4.2,18%
Z. Lobar,oilali,2,4,4,4,4,3.6,78%
O. Ziroat,yoshlar daftari,2,4,4,4,3,3.4,60%
R. Bekmurod,ijtimoiy ximoyaga muhtoj oila reestr,4,3,3,5,4,3.8,71%
N. Mashxura,oilali,5,4,2,4,4,3.8,78%
F. Iroda,oilali,5,4,5,4,4,4.4,87%
B. Sulton,yolg'iz,2,5,3,5,4,3.8,91%
Y. Rafid,yolg'iz,5,4,5,5,4,4.6,7%
N. Munira,oilali,5,4,4,4,3,4.0,30%
O. Anas,temir daftar,4,5,4,4,4,4.2,74%
E. Otabek,chin yetim,4,3,5,4,5,4.2,76%
E. Abdulg‘ani,oilali,5,4,5,2,4,4.0,63%
"Z. Nosir, Nosirjon",temir daftar,5,2,4,5,5,4.2,71%
H. Abdulqahhor,chin yetim,5,3,4,5,4,4.2,12%
F. Ozodbek,yolg'iz,2,5,3,4,3,3.4,21%
Y. Rafid,ijtimoiy ximoyaga muhtoj oila reestr,5,4,4,5,4,4.4,97%
Q. Azamat,yolg'iz,2,2,2,3,5,2.8,99%
Y. Qudrat,chin yetim,3,4,5,5,4,4.2,16%
S. Omina,oilali,4,2,2,3,3,2.8,75%
H. Ahbor,boquvchisini yo'qotgan,2,3,4,3,3,3.0,43%
N. Mashxura,oilali,5,5,2,2,5,3.8,83%
K. Zamira,yoshlar daftari,4,2,4,5,5,4.0,90%
U. Samir,ijtimoiy ximoyaga muhtoj oila reestr,5,3,5,3,4,4.0,95%
B. Jamila,temir daftar,4,4,3,4,4,3.8,86%
R. Zaxro,boquvchisini yo'qotgan,4,2,5,5,4,4.0,99%
S. Hurram,chin yetim,3,5,3,4,4,3.8,96%
G. Sulaymon,oilali,2,5,4,5,3,3.8,77%
S. Abduljabbor,oilali,3,5,4,2,4,3.6,87%
Z. Fozil,boquvchisini yo'qotgan,4,5,3,5,3,4.0,86%
