F.I.Sh,ijtimoiy holati,Python,Kompyuterli nigoh,Data mining,Web texnologiyalar,Suniy intellekt,o'rtacha bahosi,davomat
emdbp,chin yetim,3,4,4,2,4,3.4,15%
iifkv,ijtimoiy ximoyaga muhtoj oila reestr,3,4,4,2,3,3.2,20%
xvadm,boquvchisini yo'qotgan,2,4,2,2,2,2.4,44%
wmmbi,ijtimoiy ximoyaga muhtoj oila reestr,2,4,4,3,2,3.0,89%
xhgdr,temir daftar,2,3,2,3,4,2.8,86%
cfllu,yolg'iz,3,2,3,4,2,2.8,81%
hvvad,yoshlar daftari,4,4,3,4,2,3.4,61%
ukcmy,yoshlar daftari,4,4,3,4,3,3.6,30%
qvvju,oilali,3,2,2,2,2,2.2,41%
loujn,chin yetim,3,4,2,2,2,2.6,11%
mefxb,yoshlar daftari,4,2,4,3,3,3.2,64%
vqdnj,yolg'iz,3,4,2,2,2,2.6,72%
cycof,temir daftar,2,2,4,3,2,2.6,2%
qlvtx,chin yetim,3,4,4,2,4,3.4,89%
kydzz,boquvchisini yo'qotgan,3,2,2,3,2,2.4,8%
fatwp,yolg'iz,2,3,2,2,3,2.4,50%
oqhzl,yolg'iz,4,3,2,3,2,2.8,15%
vujoi,yoshlar daftari,2,3,2,4,2,2.6,87%
befgu,chin yetim,3,4,4,2,3,3.2,77%
yawzg,temir daftar,2,2,3,3,2,2.4,2%
tylpp,oilali,4,2,4,2,3,3.0,97%
kudmg,ijtimoiy ximoyaga muhtoj oila reestr,4,3,3,3,3,3.2,96%
dosik,ijtimoiy ximoyaga muhtoj oila reestr,3,2,4,2,2,2.6,23%
hawyx,temir daftar,2,3,2,4,2,2.6,72%
hmvdh,temir daftar,3,4,4,4,4,3.8,12%
cibbm,ijtimoiy ximoyaga muhtoj oila reestr,2,3,4,4,3,3.2,1%
owlzd,oilali,2,4,2,2,2,2.4,70%
zhiwe,chin yetim,2,4,4,2,2,2.8,20%
xtrko,ijtimoiy ximoyaga muhtoj oila reestr,3,3,3,4,3,3.2,18%
viqzl,temir daftar,4,4,4,4,3,3.8,88%
gjyzy,yoshlar daftari,2,2,2,3,2,2.2,46%
jmskm,boquvchisini yo'qotgan,3,3,3,2,2,2.6,21%
uhhdo,oilali,2,4,3,4,3,3.2,74%
kkaqo,yolg'iz,2,3,3,4,3,3.0,32%
tfxvy,oilali,2,3,3,3,4,3.0,31%
oinrz,yoshlar daftari,3,3,4,4,4,3.6,63%
qrett,yoshlar daftari,4,2,2,3,2,2.6,84%
ikxva,yolg'iz,3,2,4,4,2,3.0,38%
rfboz,temir daftar,2,3,3,3,4,3.0,83%
uneff,ijtimoiy ximoyaga muhtoj oila reestr,4,4,4,3,4,3.8,71%
vrnjn,chin yetim,4,4,4,2,3,3.4,41%
mcfhl,oilali,3,4,2,3,3,3.0,8%
mklaq,yolg'iz,4,4,3,3,2,3.2,24%
pkmrk,oilali,3,3,4,3,4,3.4,88%
lfipd,yoshlar daftari,3,3,3,2,4,3.0,96%
cpxzy,ijtimoiy ximoyaga muhtoj oila reestr,2,3,2,4,3,2.8,1%
lkeyr,oilali,2,2,4,2,4,2.8,18%
swwfv,chin yetim,3,3,2,3,3,2.8,19%
rzfdl,yoshlar daftari,2,3,2,4,4,3.0,92%
sbqkk,chin yetim,4,2,2,3,3,2.8,69%
upbbw,ijtimoiy ximoyaga muhtoj oila reestr,3,3,3,2,2,2.6,16%
hmjhd,oilali,4,4,4,4,2,3.6,88%
oakgq,boquvchisini yo'qotgan,2,2,3,3,4,2.8,67%
txrvv,oilali,3,2,4,4,3,3.2,93%
liejd,ijtimoiy ximoyaga muhtoj oila reestr,4,3,3,4,3,3.4,83%
ejkux,oilali,3,3,3,4,2,3.0,2%
jhbwh,yolg'iz,2,3,3,3,2,2.6,86%
pveyc,oilali,3,4,4,4,2,3.4,50%
lmmjd,temir daftar,3,3,3,2,2,2.6,81%
ivxwb,oilali,2,2,4,2,2,2.4,25%
saygq,oilali,2,3,3,3,4,3.0,55%
cttuc,chin yetim,4,2,3,4,3,3.2,99%
cqgzn,boquvchisini yo'qotgan,4,4,2,2,4,3.2,63%
qrmtt,chin yetim,2,4,4,3,2,3.0,7%
urdar,chin yetim,2,2,3,3,3,2.6,80%
azzmt,yoshlar daftari,2,2,2,3,3,2.4,94%
twjki,temir daftar,4,3,4,2,3,3.2,36%
iezaq,chin yetim,2,2,2,2,3,2.2,96%
vbxmi,yolg'iz,2,4,3,2,3,2.8,26%
dekxs,ijtimoiy ximoyaga muhtoj oila reestr,4,2,4,2,4,3.2,44%
uclzs,yolg'iz,2,3,2,3,2,2.4,3%
smgow,ijtimoiy ximoyaga muhtoj oila reestr,2,4,4,4,2,3.2,85%
gzheu,oilali,2,2,3,3,2,2.4,89%
ndwjt,yoshlar daftari,4,4,4,2,4,3.6,95%
ortmh,temir daftar,2,3,4,3,4,3.2,87%
ipspg,yolg'iz,2,2,2,2,4,2.4,98%
nnydz,temir daftar,3,2,4,3,2,2.8,36%
oceac,yolg'iz,3,2,3,3,2,2.6,95%
oxhdb,oilali,4,3,2,3,3,3.0,70%
xxjdc,ijtimoiy ximoyaga muhtoj oila reestr,4,3,3,2,2,2.8,32%
byqwu,boquvchisini yo'qotgan,4,3,3,3,4,3.4,30%
xtwme,yoshlar daftari,3,2,4,2,2,2.6,54%
uiyyv,yolg'iz,4,2,3,4,2,3.0,11%
feyjh,yolg'iz,3,3,2,3,4,3.0,10%
ggfut,oilali,2,3,3,2,2,2.4,87%
csvod,yoshlar daftari,2,2,4,2,4,2.8,71%
lfsdo,ijtimoiy ximoyaga muhtoj oila reestr,4,2,4,2,2,2.8,31%
iemwz,ijtimoiy ximoyaga muhtoj oila reestr,3,2,3,4,3,3.0,56%
reyps,yolg'iz,4,2,4,4,2,3.2,37%
nypov,boquvchisini yo'qotgan,4,2,3,2,2,2.6,59%
dgpxv,boquvchisini yo'qotgan,4,3,2,3,3,3.0,85%
uvuhq,temir daftar,4,2,4,2,3,3.0,97%
pwjjb,yoshlar daftari,2,2,3,3,2,2.4,18%
iqkjv,yoshlar daftari,4,2,3,4,3,3.2,83%
yqdpt,ijtimoiy ximoyaga muhtoj oila reestr,3,4,3,3,3,3.2,55%
oyuef,temir daftar,3,3,3,3,3,3.0,13%
qaysd,oilali,3,2,2,3,2,2.4,32%
qixbh,yoshlar daftari,4,2,3,3,2,2.8,9%
ogfao,temir daftar,3,4,4,3,4,3.6,79%
wzgyq,temir daftar,4,2,4,2,3,3.0,63%
biimf,yolg'iz,2,3,3,3,3,2.8,63%
fttuc,ijtimoiy ximoyaga muhtoj oila reestr,3,2,3,4,4,3.2,61%
qqlpo,temir daftar,3,4,2,2,3,2.8,67%
mwaqc,boquvchisini yo'qotgan,3,3,4,4,2,3.2,90%
zoddr,boquvchisini yo'qotgan,4,2,4,2,3,3.0,91%
qsktc,chin yetim,4,2,4,3,2,3.0,42%
hnzan,ijtimoiy ximoyaga muhtoj oila reestr,4,4,3,3,2,3.2,79%
bwdxs,yolg'iz,4,4,3,3,2,3.2,58%
fyaqh,oilali,4,4,2,2,3,3.0,51%
suaep,chin yetim,3,2,2,4,2,2.6,96%
fhmpc,boquvchisini yo'qotgan,2,4,2,3,3,2.8,18%
slpkj,yolg'iz,4,2,3,3,3,3.0,20%
ytdlw,chin yetim,3,2,2,2,2,2.2,21%
bxvsy,ijtimoiy ximoyaga muhtoj oila reestr,3,4,4,3,3,3.4,8%
ehgnx,yolg'iz,4,4,3,3,2,3.2,8%
wcrpw,ijtimoiy ximoyaga muhtoj oila reestr,2,4,3,4,2,3.0,72%
ssrtp,temir daftar,2,4,2,3,4,3.0,26%
haqlu,yoshlar daftari,3,3,2,3,4,3.0,16%
kelqf,temir daftar,3,3,3,3,3,3.0,43%
aeyne,ijtimoiy ximoyaga muhtoj oila reestr,2,4,2,4,4,3.2,44%
vxarp,yolg'iz,4,4,4,3,2,3.4,7%
isveb,boquvchisini yo'qotgan,2,3,4,2,3,2.8,79%
ogdam,oilali,3,2,2,4,4,3.0,17%
tvgow,boquvchisini yo'qotgan,2,4,3,4,4,3.4,32%
nwsvx,yolg'iz,3,4,3,4,2,3.2,0%
txrji,temir daftar,4,2,2,2,2,2.4,75%
yhzjq,oilali,2,3,3,3,2,2.6,5%
bfzei,yolg'iz,4,3,4,4,2,3.4,40%
erzti,ijtimoiy ximoyaga muhtoj oila reestr,2,2,3,2,3,2.4,54%
qqlgc,boquvchisini yo'qotgan,3,3,3,2,3,2.8,4%
jbycp,ijtimoiy ximoyaga muhtoj oila reestr,2,2,3,2,4,2.6,58%
bxjfv,oilali,2,2,3,3,2,2.4,79%
zkwgo,oilali,3,4,4,3,2,3.2,17%
ftivt,boquvchisini yo'qotgan,4,4,2,3,4,3.4,48%
lstco,ijtimoiy ximoyaga muhtoj oila reestr,2,2,4,3,4,3.0,81%
bubvc,chin yetim,2,4,3,2,3,2.8,64%
fojia,ijtimoiy ximoyaga muhtoj oila reestr,4,4,3,4,3,3.6,82%
pfidb,oilali,4,3,3,2,2,2.8,53%
