F.I.Sh,ijtimoiy holati,Python,Kompyuterli nigoh,Data mining,Web texnologiyalar,Suniy intellekt,o'rtacha bahosi
fatwp,klaster metodi,81,35,48,58,93,56.166666666666664
oqhzl,Fikriy hujum metodi,43,59,50,94,33,35.833333333333336
vujoi,induksiya metodi,75,37,47,89,74,55.333333333333336
befgu,6x6x6 metodi,60,57,93,66,96,58.5
yawzg,6x6x6 metodi,97,64,65,86,99,52.333333333333336
tylpp,Deduksiya metodi,33,78,68,47,89,56.833333333333336
kudmg,zakovatli zukko metodi,39,52,97,88,36,61.5
dosik,Analogiya metodi,42,32,69,40,80,57.166666666666664
hawyx,Fikriy hujum metodi,52,61,70,71,67,63.666666666666664
hmvdh,Deduksiya metodi,96,71,72,62,66,58.166666666666664
cibbm,Taqqoslash usuli,86,93,93,89,81,55.833333333333336
owlzd,Fikriy hujum metodi,97,56,88,48,32,63.833333333333336
zhiwe,zakovatli zukko metodi,68,95,85,35,57,63.5
xtrko,Taqqoslash usuli,77,77,96,83,45,54.666666666666664
viqzl,zakovatli zukko metodi,64,59,77,98,37,55.666666666666664
gjyzy,Analogiya metodi,80,39,57,65,89,59.666666666666664
jmskm,Fikriy hujum metodi,39,43,92,76,98,54.5
uhhdo,Fikriy hujum metodi,85,35,48,81,91,63.666666666666664
kkaqo,zakovatli zukko metodi,78,40,75,98,74,51.166666666666664
tfxvy,klaster metodi,87,61,39,42,42,65.16666666666667
oinrz,zakovatli zukko metodi,65,48,36,44,75,46.833333333333336
qrett,Deduksiya metodi,77,95,33,32,32,61.5
ikxva,induksiya metodi,98,57,52,59,91,61.0
rfboz,Fikriy hujum metodi,80,70,93,72,87,40.5
uneff,Analogiya metodi,88,69,75,91,78,48.833333333333336
vrnjn,Fikriy hujum metodi,52,73,73,48,73,52.166666666666664
mcfhl,Fikriy hujum metodi,40,89,67,32,45,65.5
mklaq,Fikriy hujum metodi,38,70,67,98,94,45.166666666666664
pkmrk,klaster metodi,64,64,77,37,56,44.5
lfipd,zakovatli zukko metodi,38,59,43,52,58,55.5
cpxzy,Fikriy hujum metodi,55,44,96,45,42,44.5
lkeyr,zakovatli zukko metodi,53,91,86,65,89,44.666666666666664
swwfv,Analogiya metodi,51,32,65,65,39,60.333333333333336
rzfdl,zakovatli zukko metodi,50,78,38,81,77,58.833333333333336
sbqkk,Deduksiya metodi,89,79,68,45,57,48.666666666666664
upbbw,induksiya metodi,35,90,35,95,69,55.333333333333336
hmjhd,Analogiya metodi,91,57,76,38,81,58.166666666666664
oakgq,Analogiya metodi,44,63,49,89,87,71.66666666666667
txrvv,Taqqoslash usuli,96,31,79,43,85,51.166666666666664
liejd,induksiya metodi,98,73,75,35,37,52.166666666666664
ejkux,klaster metodi,68,73,56,45,68,51.666666666666664
jhbwh,Deduksiya metodi,30,80,92,62,79,53.333333333333336
pveyc,zakovatli zukko metodi,83,56,48,57,52,57.0
lmmjd,6x6x6 metodi,93,68,78,88,49,59.0
ivxwb,Deduksiya metodi,90,38,52,36,60,46.333333333333336
saygq,zakovatli zukko metodi,89,90,55,83,60,54.166666666666664
cttuc,6x6x6 metodi,70,57,35,63,38,50.333333333333336
cqgzn,Taqqoslash usuli,41,45,60,62,36,57.5
qrmtt,Taqqoslash usuli,32,49,34,96,67,48.166666666666664
urdar,klaster metodi,85,52,31,50,43,49.666666666666664
azzmt,Analogiya metodi,91,40,33,76,49,57.166666666666664
twjki,Deduksiya metodi,81,45,74,37,91,55.166666666666664
iezaq,6x6x6 metodi,50,93,59,65,34,43.166666666666664
vbxmi,Deduksiya metodi,67,48,56,42,38,57.333333333333336
dekxs,6x6x6 metodi,46,73,74,71,80,62.166666666666664
uclzs,Deduksiya metodi,87,87,59,34,37,59.833333333333336
smgow,Analogiya metodi,66,76,74,34,92,50.0
gzheu,6x6x6 metodi,76,54,79,74,59,48.666666666666664
ndwjt,Deduksiya metodi,77,80,84,84,75,58.5
ortmh,Fikriy hujum metodi,60,63,97,62,85,48.833333333333336
ipspg,zakovatli zukko metodi,87,86,46,40,46,57.333333333333336
nnydz,Taqqoslash usuli,39,55,35,45,33,65.0
oceac,klaster metodi,91,93,85,52,62,61.166666666666664
oxhdb,Taqqoslash usuli,60,36,34,66,30,63.333333333333336
xxjdc,6x6x6 metodi,99,74,76,97,59,66.5
byqwu,Taqqoslash usuli,89,53,60,57,74,50.666666666666664
xtwme,klaster metodi,33,90,68,53,75,54.166666666666664
uiyyv,zakovatli zukko metodi,82,77,38,51,31,61.0
feyjh,Taqqoslash usuli,45,34,41,81,55,51.333333333333336
ggfut,Fikriy hujum metodi,44,96,88,68,92,52.5
csvod,induksiya metodi,54,70,57,50,90,70.16666666666667
lfsdo,Deduksiya metodi,86,40,48,30,61,40.5
iemwz,zakovatli zukko metodi,63,46,84,48,71,54.666666666666664
reyps,6x6x6 metodi,88,67,60,95,98,54.833333333333336
nypov,Taqqoslash usuli,79,59,64,88,46,66.66666666666667
dgpxv,Deduksiya metodi,95,50,81,94,43,59.5
uvuhq,Deduksiya metodi,45,84,38,37,63,48.666666666666664
pwjjb,zakovatli zukko metodi,62,36,50,34,41,59.166666666666664
iqkjv,Fikriy hujum metodi,88,87,66,74,54,57.166666666666664
yqdpt,klaster metodi,56,80,71,71,89,58.666666666666664
oyuef,Deduksiya metodi,87,51,87,40,35,44.666666666666664
qaysd,klaster metodi,51,41,56,30,93,51.333333333333336
qixbh,Taqqoslash usuli,68,89,99,83,54,46.5
ogfao,6x6x6 metodi,49,65,52,30,56,56.5
wzgyq,zakovatli zukko metodi,81,31,50,38,77,35.666666666666664
biimf,Deduksiya metodi,68,71,74,31,96,37.833333333333336
fttuc,Fikriy hujum metodi,72,47,68,35,71,51.333333333333336
qqlpo,6x6x6 metodi,81,56,44,48,91,59.833333333333336
mwaqc,6x6x6 metodi,93,80,76,86,49,48.333333333333336
zoddr,6x6x6 metodi,49,93,67,67,94,59.166666666666664
qsktc,Taqqoslash usuli,34,93,56,49,89,52.333333333333336
hnzan,Fikriy hujum metodi,69,35,65,94,40,65.16666666666667
bwdxs,zakovatli zukko metodi,78,57,51,76,95,64.33333333333333
fyaqh,Analogiya metodi,54,96,61,46,69,48.0
suaep,induksiya metodi,59,88,57,76,52,44.833333333333336
fhmpc,Deduksiya metodi,86,30,58,79,93,55.5
slpkj,Deduksiya metodi,66,90,36,93,47,51.833333333333336
ytdlw,Deduksiya metodi,58,89,83,50,50,44.0
bxvsy,klaster metodi,87,78,65,46,82,45.666666666666664
ehgnx,Analogiya metodi,44,69,80,94,42,49.666666666666664
wcrpw,6x6x6 metodi,67,55,44,34,31,48.5
ssrtp,6x6x6 metodi,94,89,85,67,86,54.666666666666664
haqlu,klaster metodi,80,70,99,81,30,71.16666666666667
kelqf,zakovatli zukko metodi,47,56,71,35,53,62.666666666666664
aeyne,induksiya metodi,74,36,45,87,86,50.333333333333336
vxarp,Fikriy hujum metodi,71,43,85,41,44,46.833333333333336
isveb,Analogiya metodi,37,87,82,38,75,49.833333333333336
ogdam,Analogiya metodi,36,73,43,35,64,42.333333333333336
tvgow,Taqqoslash usuli,99,90,53,31,80,61.0
nwsvx,6x6x6 metodi,60,56,60,99,72,44.666666666666664
txrji,Analogiya metodi,81,43,88,49,81,58.166666666666664
yhzjq,zakovatli zukko metodi,69,97,73,35,86,45.166666666666664
bfzei,Analogiya metodi,87,59,81,40,76,60.333333333333336
erzti,Deduksiya metodi,34,32,44,31,31,47.333333333333336
qqlgc,klaster metodi,83,75,70,98,59,40.666666666666664
jbycp,6x6x6 metodi,73,39,59,78,64,37.0
bxjfv,Taqqoslash usuli,94,46,60,99,81,44.5
zkwgo,Fikriy hujum metodi,55,34,43,80,44,49.0
ftivt,zakovatli zukko metodi,41,75,93,88,55,61.666666666666664
lstco,induksiya metodi,58,33,79,54,69,42.5
bubvc,zakovatli zukko metodi,61,66,39,67,90,58.333333333333336
fojia,Fikriy hujum metodi,56,36,38,88,65,62.5
pfidb,Taqqoslash usuli,59,48,70,84,35,51.0
